JD,PhaseAngle_deg,VisibleArea_m2,ApparentMagnitude
2458352.472188,168.397040,201636.250000,19.795994
2458352.491478,168.391005,207519.671875,19.764687
2458352.510769,168.384964,242226.750000,19.596701
2458352.530059,168.378919,206296.250000,19.770948
2458352.549349,168.372869,148433.125000,20.128270
2458352.568639,168.366813,196804.359375,19.821930
2458352.587929,168.360753,174737.750000,19.950970
2458352.607219,168.354688,187525.718750,19.874206
2458352.626509,168.348618,178500.953125,19.927677
2458352.645799,168.342543,194906.218750,19.832134
2458352.665090,168.336463,192522.250000,19.845416
2458352.684380,168.330378,239378.359375,19.608827
2458352.703670,168.324288,181054.718750,19.911934
2458352.722960,168.318193,246684.250000,19.576026
2458352.742250,168.312093,255774.671875,19.536656
2458352.761540,168.305989,167573.406250,19.995707
2458352.780830,168.299879,154467.968750,20.084044
2458352.800120,168.293765,211648.296875,19.742023
2458352.819411,168.287645,165295.125000,20.010330
2458352.838701,168.281521,175612.796875,19.944510
2458352.857991,168.275392,198458.953125,19.811644
2458352.877281,168.269258,203156.125000,19.786166
2458352.896571,168.263119,244705.046875,19.584054
2458352.915861,168.256976,180148.906250,19.916502
2458352.935151,168.250827,238587.640625,19.611382
2458352.954441,168.244674,264165.468750,19.500731
2458352.973732,168.238515,182556.656250,19.901848
2458352.993022,168.232352,153675.031250,20.088754
2458353.012312,168.226185,217025.421875,19.713905
2458353.031602,168.220012,169741.218750,19.980634
2458353.050892,168.213834,200140.015625,19.801687
2458353.070182,168.207652,195385.187500,19.827713
2458353.089472,168.201465,214128.875000,19.728174
2458353.108762,168.195273,210625.250000,19.746006
2458353.128053,168.189076,232766.265625,19.637402
2458353.147343,168.182875,205170.109375,19.774337
2458353.166633,168.176668,255077.000000,19.537864
2458353.185923,168.170457,240041.000000,19.603749
2458353.205213,168.164241,161757.750000,20.032220
2458353.224503,168.158021,187427.859375,19.872217
2458353.243793,168.151795,201673.640625,19.792600
2458353.263083,168.145565,184100.937500,19.891503
2458353.282374,168.139330,184956.703125,19.886387
