JD,PhaseAngle_deg,VisibleArea_m2,ApparentMagnitude
2458357.969874,40.344146,166958768.000000,12.320030
2458357.989164,40.344142,166957648.000000,12.319523
2458358.008454,40.344138,166958128.000000,12.319005
2458358.027744,40.344132,166959376.000000,12.318483
2458358.047034,40.344126,166958496.000000,12.317974
2458358.066324,40.344119,166958976.000000,12.317456
2458358.085614,40.344110,166957696.000000,12.316950
2458358.104904,40.344101,166957360.000000,12.316437
2458358.124195,40.344091,166958688.000000,12.315914
2458358.143485,40.344080,166959760.000000,12.315392
2458358.162775,40.344068,166959680.000000,12.314878
2458358.182065,40.344055,166959104.000000,12.314366
2458358.201355,40.344041,166958320.000000,12.313856
2458358.220645,40.344026,166957840.000000,12.313345
2458358.239935,40.344010,166959552.000000,12.312818
2458358.259225,40.343993,166960288.000000,12.312298
2458358.278515,40.343975,166959648.000000,12.311787
2458358.297806,40.343956,166958432.000000,12.311280
2458358.317096,40.343937,166958368.000000,12.310765
2458358.336386,40.343916,166958416.000000,12.310249
2458358.355676,40.343895,166959888.000000,12.309724
2458358.374966,40.343872,166959824.000000,12.309209
2458358.394256,40.343849,166959888.000000,12.308693
2458358.413546,40.343824,166958768.000000,12.308185
2458358.432836,40.343799,166957920.000000,12.307675
2458358.452127,40.343773,166960080.000000,12.307145
2458358.471417,40.343745,166960448.000000,12.306627
2458358.490707,40.343717,166960304.000000,12.306112
2458358.509997,40.343688,166959360.000000,12.305602
2458358.529287,40.343658,166957808.000000,12.305096
2458358.548577,40.343627,166958528.000000,12.304576
2458358.567867,40.343595,166960736.000000,12.304045
2458358.587157,40.343562,166960816.000000,12.303529
2458358.606448,40.343528,166959504.000000,12.303021
2458358.625738,40.343493,166959712.000000,12.302503
2458358.645028,40.343457,166959248.000000,12.301990
2458358.664318,40.343421,166958544.000000,12.301478
2458358.683608,40.343383,166961664.000000,12.300942
2458358.702898,40.343344,166961296.000000,12.300428
2458358.722188,40.343305,166960432.000000,12.299917
2458358.741478,40.343264,166960048.000000,12.299403
2458358.760769,40.343223,166958976.000000,12.298893
2458358.780059,40.343180,166960224.000000,12.298368
2458358.799349,40.343137,166961328.000000,12.297844
2458358.818639,40.343092,166961648.000000,12.297326
2458358.837929,40.343047,166960720.000000,12.296815
2458358.857219,40.343001,166960704.000000,12.296298
2458358.876509,40.342954,166959408.000000,12.295790
2458358.895799,40.342906,166962944.000000,12.295250
2458358.915090,40.342856,166961792.000000,12.294740
2458358.934380,40.342806,166960240.000000,12.294233
2458358.953670,40.342755,166961280.000000,12.293709
2458358.972960,40.342703,166960240.000000,12.293199
2458358.992250,40.342651,166960208.000000,12.292682
2458359.011540,40.342597,166962816.000000,12.292147
2458359.030830,40.342542,166962960.000000,12.291629
2458359.050120,40.342486,166961728.000000,12.291120
2458359.069411,40.342429,166961632.000000,12.290603
2458359.088701,40.342372,166960832.000000,12.290090
2458359.107991,40.342313,166961536.000000,12.289568
2458359.127281,40.342254,166962496.000000,12.289044
2458359.146571,40.342193,166962128.000000,12.288529
2458359.165861,40.342132,166962496.000000,12.288009
2458359.185151,40.342069,166962816.000000,12.287489
2458359.204441,40.342006,166961504.000000,12.286980
2458359.223732,40.341941,166963552.000000,12.286449
2458359.243022,40.341876,166963696.000000,12.285930
2458359.262312,40.341810,166963232.000000,12.285415
2458359.281602,40.341743,166963392.000000,12.284895
2458359.300892,40.341675,166961584.000000,12.284389
2458359.320182,40.341606,166962608.000000,12.283864
2458359.339472,40.341535,166964736.000000,12.283332
2458359.358762,40.341464,166964512.000000,12.282815
2458359.378053,40.341393,166964256.000000,12.282299
2458359.397343,40.341320,166963584.000000,12.281785
2458359.416633,40.341246,166962928.000000,12.281270
2458359.435923,40.341171,166963888.000000,12.280746
2458359.455213,40.341095,166965360.000000,12.280217
2458359.474503,40.341018,166966784.000000,12.279690
2458359.493793,40.340941,166964256.000000,12.279187
2458359.513083,40.340862,166964752.000000,12.278665
2458359.532374,40.340783,166963232.000000,12.278156
2458359.551664,40.340702,166965872.000000,12.277620
2458359.570954,40.340621,166966240.000000,12.277099
2458359.590244,40.340538,166965872.000000,12.276583
2458359.609534,40.340455,166965744.000000,12.276064
2458359.628824,40.340370,166964816.000000,12.275551
2458359.648114,40.340285,166964512.000000,12.275034
2458359.667404,40.340199,166966752.000000,12.274500
2458359.686695,40.340111,166966992.000000,12.273980
2458359.705985,40.340023,166966592.000000,12.273463
2458359.725275,40.339934,166966448.000000,12.272945
2458359.744565,40.339844,166964688.000000,12.272437
2458359.763855,40.339753,166966048.000000,12.271908
2458359.783145,40.339661,166967856.000000,12.271377
2458359.802435,40.339568,166968544.000000,12.270853
2458359.821725,40.339474,166968016.000000,12.270337
2458359.841015,40.339379,166967200.000000,12.269822
2458359.860306,40.339283,166965888.000000,12.269311
2458359.879596,40.339187,166966752.000000,12.268786
2458359.898886,40.339089,166968944.000000,12.268252
2458359.918176,40.338990,166968912.000000,12.267732
2458359.937466,40.338891,166968768.000000,12.267213
2458359.956756,40.338790,166966912.000000,12.266705
2458359.976046,40.338688,166967520.000000,12.266181
2458359.995336,40.338586,166969504.000000,12.265648
