JD,PhaseAngle_deg,VisibleArea_m2,ApparentMagnitude
2458351.449812,168.709623,169562.125000,19.988300
2458351.469102,168.703860,169620.125000,19.987850
2458351.488392,168.698093,169762.484375,19.986860
2458351.507682,168.692320,170153.218750,19.984284
2458351.526972,168.686541,170374.671875,19.982793
2458351.546262,168.680758,170643.984375,19.980999
2458351.565553,168.674969,171003.765625,19.978633
2458351.584843,168.669174,171235.687500,19.977082
2458351.604133,168.663375,170703.843750,19.980381
2458351.623423,168.657570,171773.640625,19.973518
2458351.642713,168.651760,172066.984375,19.971587
2458351.662003,168.645945,172179.640625,19.970797
2458351.681293,168.640124,172463.265625,19.968931
2458351.700583,168.634298,172808.437500,19.966680
2458351.719874,168.628467,172879.843750,19.966153
2458351.739164,168.622631,173327.609375,19.963265
2458351.758454,168.616790,173759.484375,19.960484
2458351.777744,168.610943,173825.125000,19.959994
2458351.797034,168.605091,174068.390625,19.958397
2458351.816324,168.599234,174409.703125,19.956191
2458351.835614,168.593372,174687.703125,19.954382
2458351.854904,168.587504,174859.859375,19.953233
2458351.874195,168.581632,175235.437500,19.950824
2458351.893485,168.575754,175676.109375,19.948018
2458351.912775,168.569871,175740.453125,19.947541
2458351.932065,168.563983,175572.390625,19.948501
2458351.951355,168.558089,176369.796875,19.943501
2458351.970645,168.552191,176469.953125,19.942805
2458351.989935,168.546287,176810.125000,19.940635
2458352.009225,168.540378,177009.828125,19.939330
2458352.028515,168.534464,177350.218750,19.937165
2458352.047806,168.528545,177338.937500,19.937155
2458352.067096,168.522621,177897.593750,19.933660
2458352.086386,168.516692,178535.062500,19.929697
2458352.105676,168.510757,178526.781250,19.929668
2458352.124966,168.504818,178693.531250,19.928575
2458352.144256,168.498873,179136.562500,19.925807
2458352.163546,168.492923,179388.343750,19.924203
2458352.182836,168.486969,179506.109375,19.923411
2458352.202127,168.481009,179886.843750,19.921031
2458352.221417,168.475044,180405.750000,19.917824
2458352.240707,168.469074,180378.390625,19.917909
2458352.259997,168.463099,180441.187500,19.917451
2458352.279287,168.457118,180948.750000,19.914322
2458352.298577,168.451133,181193.265625,19.912776
2458352.317867,168.445143,181502.609375,19.910845
2458352.337157,168.439148,181778.875000,19.909114
2458352.356448,168.433147,182185.109375,19.906611
2458352.375738,168.427142,181856.093750,19.908494
2458352.395028,168.421132,182683.093750,19.903488
2458352.414318,168.415116,183025.250000,19.901377
2458352.433608,168.409096,183279.437500,19.899790
2458352.452898,168.403070,183447.000000,19.898718
2458352.472188,168.397040,183764.687500,19.896760
2458352.491478,168.391005,184033.390625,19.895094
2458352.510769,168.384964,184331.843750,19.893255
2458352.530059,168.378919,184504.203125,19.892161
2458352.549349,168.372869,184807.578125,19.890297
2458352.568639,168.366813,185218.375000,19.887807
2458352.587929,168.360753,185377.140625,19.886797
2458352.607219,168.354688,185833.359375,19.884048
2458352.626509,168.348618,186076.734375,19.882548
2458352.645799,168.342543,186380.531250,19.880697
2458352.665090,168.336463,186628.078125,19.879176
2458352.684380,168.330378,186977.343750,19.877066
2458352.703670,168.324288,186513.281250,19.879685
2458352.722960,168.318193,187592.859375,19.873339
2458352.742250,168.312093,187766.453125,19.872255
2458352.761540,168.305989,188107.546875,19.870204
2458352.780830,168.299879,188439.687500,19.868209
2458352.800120,168.293765,188719.343750,19.866519
2458352.819411,168.287645,188747.265625,19.866279
2458352.838701,168.281521,189277.265625,19.863154
2458352.857991,168.275392,189453.875000,19.862062
2458352.877281,168.269258,189814.750000,19.859916
2458352.896571,168.263119,190164.625000,19.857837
2458352.915861,168.256976,190462.000000,19.856060
2458352.935151,168.250827,190806.046875,19.854021
2458352.954441,168.244674,191076.578125,19.852403
2458352.973732,168.238515,191399.343750,19.850491
2458352.993022,168.232352,191504.078125,19.849817
2458353.012312,168.226185,192030.593750,19.846756
2458353.031602,168.220012,191577.453125,19.849241
2458353.050892,168.213834,192627.890625,19.843224
2458353.070182,168.207652,192856.531250,19.841856
2458353.089472,168.201465,193211.375000,19.839781
2458353.108762,168.195273,193521.765625,19.837958
2458353.128053,168.189076,193859.265625,19.835986
2458353.147343,168.182875,193750.187500,19.836517
2458353.166633,168.176668,194412.000000,19.832735
2458353.185923,168.170457,194443.203125,19.832481
2458353.205213,168.164241,195012.718750,19.829225
2458353.224503,168.158021,195296.781250,19.827565
2458353.243793,168.151795,195627.937500,19.825645
2458353.263083,168.145565,195948.859375,19.823786
2458353.282374,168.139330,196211.921875,19.822249
2458353.301664,168.133091,196534.031250,19.820388
2458353.320954,168.126846,196529.109375,19.820335
2458353.340244,168.120597,197224.640625,19.816420
2458353.359534,168.114343,197202.734375,19.816460
2458353.378824,168.108085,197852.109375,19.812811
2458353.398114,168.101821,198099.203125,19.811375
2458353.417404,168.095553,198423.687500,19.809518
2458353.436695,168.089281,198663.078125,19.808129
2458353.455985,168.083003,199023.343750,19.806082
2458353.475275,168.076721,198961.531250,19.806339
2458353.494565,168.070434,199678.140625,19.802355
2458353.513855,168.064143,199925.171875,19.800933
2458353.533145,168.057847,200326.156250,19.798677
2458353.552435,168.051546,200602.718750,19.797099
2458353.571725,168.045241,200956.328125,19.795107
2458353.591015,168.038930,201271.656250,19.793324
2458353.610306,168.032616,201564.453125,19.791666
2458353.629596,168.026296,201784.359375,19.790402
2458353.648886,168.019972,202159.875000,19.788303
2458353.668176,168.013643,202541.609375,19.786175
2458353.687466,168.007310,202853.031250,19.784426
2458353.706756,168.000972,203094.750000,19.783053
2458353.726046,167.994629,203455.281250,19.781047
2458353.745336,167.988282,203788.859375,19.779188
2458353.764627,167.981930,203909.593750,19.778465
2458353.783917,167.975574,204503.250000,19.775228
2458353.803207,167.969213,204235.468750,19.776571
2458353.822497,167.962847,205150.187500,19.771638
2458353.841787,167.956477,205394.578125,19.770266
2458353.861077,167.950103,205763.078125,19.768239
2458353.880367,167.943723,206102.296875,19.766370
2458353.899657,167.937339,206382.765625,19.764814
2458353.918948,167.930951,206645.953125,19.763349
2458353.938238,167.924558,207029.156250,19.761258
2458353.957528,167.918160,207097.015625,19.760821
2458353.976818,167.911758,207668.625000,19.757748
2458353.996108,167.905351,208049.515625,19.755679
2458354.015398,167.898940,208325.453125,19.754159
2458354.034688,167.892524,208687.000000,19.752196
2458354.053978,167.886104,209033.656250,19.750314
2458354.073269,167.879679,209318.265625,19.748756
